,states,states_code,id,year,population
0,Aceh,AC,11,2018,5243400
1,Sumatera Utara,SU,12,2018,14476000
2,Sumatera Barat,SB,13,2018,5411800
3,Riau,RI,14,2018,6717600
4,Kepulauan Riau,KR,21,2018,2174800
5,Jambi,JA,15,2018,3527100
6,Sumatera Selatan,SS,16,2018,8391500
7,Kepulauan Bangka Belitung,BB,19,2018,1432100
8,Bengkulu,BE,17,2018,1948600
9,Lampung,LA,18,2018,8377700
10,Daerah Khusus Jakarta,JK,31,2018,10428000
11,Jawa Barat,JB,32,2018,48475500
12,Banten,BT,36,2018,12530800
13,Jawa Tengah,JT,33,2018,34358500
14,Daerah Istimewa Yogyakarta,YO,34,2018,3818300
15,Jawa Timur,JI,35,2018,39521900
16,Kalimantan Barat,KB,61,2018,4985100
17,Kalimantan Tengah,KT,62,2018,2612600
18,Kalimantan Selatan,KS,63,2018,4162400
19,Kalimantan Timur,KI,64,2018,3573800
20,Kalimantan Utara,KU,65,2018,682800
21,Sulawesi Utara,SA,71,2018,2474400
22,Gorontalo,GO,75,2018,1166100
23,Sulawesi Tengah,ST,72,2018,3001900
24,Sulawesi Selatan,SN,73,2018,8748100
25,Sulawesi Barat,SR,76,2018,1340100
26,Sulawesi Tenggara,SG,74,2018,2623600
27,Bali,BA,51,2018,4309200
28,Nusa Tenggara Barat,NB,52,2018,5077700
29,Nusa Tenggara Timur,NT,53,2018,5360300
30,Maluku,MA,81,2018,1749500
31,Maluku Utara,MU,82,2018,1218800
32,Papua Barat,PB,92,2018,941400
33,Papua,PA,91,2018,3300200
34,Aceh,AC,11,2019,5316300
35,Sumatera Utara,SU,12,2019,14639400
36,Sumatera Barat,SB,13,2019,5479500
37,Riau,RI,14,2019,6835100
38,Kepulauan Riau,KR,21,2019,2241600
39,Jambi,JA,15,2019,3566200
40,Sumatera Selatan,SS,16,2019,8497200
41,Kepulauan Bangka Belitung,BB,19,2019,1451100
42,Bengkulu,BE,17,2019,1971800
43,Lampung,LA,18,2019,8457600
44,Daerah Khusus Jakarta,JK,31,2019,10504100
45,Jawa Barat,JB,32,2019,49023200
46,Banten,BT,36,2019,12714300
47,Jawa Tengah,JT,33,2019,34552500
48,Daerah Istimewa Yogyakarta,YO,34,2019,3868600
49,Jawa Timur,JI,35,2019,39744800
50,Kalimantan Barat,KB,61,2019,5045700
51,Kalimantan Tengah,KT,62,2019,2649800
52,Kalimantan Selatan,KS,63,2019,4216300
53,Kalimantan Timur,KI,64,2019,3619700
54,Kalimantan Utara,KU,65,2019,695600
55,Sulawesi Utara,SA,71,2019,2494100
56,Gorontalo,GO,75,2019,1176400
57,Sulawesi Tengah,ST,72,2019,3042100
58,Sulawesi Selatan,SN,73,2019,8819500
59,Sulawesi Barat,SR,76,2019,1359200
60,Sulawesi Tenggara,SG,74,2019,2663700
61,Bali,BA,51,2019,4362000
62,Nusa Tenggara Barat,NB,52,2019,5152400
63,Nusa Tenggara Timur,NT,53,2019,5437200
64,Maluku,MA,81,2019,1768500
65,Maluku Utara,MU,82,2019,1235700
66,Papua Barat,PB,92,2019,963600
67,Papua,PA,91,2019,3347100
68,Aceh,AC,11,2020,5274900
69,Sumatera Utara,SU,12,2020,14799400
70,Sumatera Barat,SB,13,2020,5534500
71,Riau,RI,14,2020,6394100
72,Kepulauan Riau,KR,21,2020,3548200
73,Jambi,JA,15,2020,8467400
74,Sumatera Selatan,SS,16,2020,2010700
75,Kepulauan Bangka Belitung,BB,19,2020,9007800
76,Bengkulu,BE,17,2020,1455700
77,Lampung,LA,18,2020,2064600
78,Daerah Khusus Jakarta,JK,31,2020,10562100
79,Jawa Barat,JB,32,2020,48274200
80,Banten,BT,36,2020,36516000
81,Jawa Tengah,JT,33,2020,3668700
82,Daerah Istimewa Yogyakarta,YO,34,2020,40665700
83,Jawa Timur,JI,35,2020,11904600
84,Kalimantan Barat,KB,61,2020,4317400
85,Kalimantan Tengah,KT,62,2020,5320100
86,Kalimantan Selatan,KS,63,2020,5325600
87,Kalimantan Timur,KI,64,2020,5414400
88,Kalimantan Utara,KU,65,2020,2670000
89,Sulawesi Utara,SA,71,2020,4073600
90,Gorontalo,GO,75,2020,3766000
91,Sulawesi Tengah,ST,72,2020,701800
92,Sulawesi Selatan,SN,73,2020,2621900
93,Sulawesi Barat,SR,76,2020,2985700
94,Sulawesi Tenggara,SG,74,2020,9073500
95,Bali,BA,51,2020,2624900
96,Nusa Tenggara Barat,NB,52,2020,1171700
97,Nusa Tenggara Timur,NT,53,2020,1419200
98,Maluku,MA,81,2020,1848900
99,Maluku Utara,MU,82,2020,1282900
100,Papua Barat,PB,92,2020,1134100
101,Papua,PA,91,2020,4303700
102,Aceh,AC,11,2021,5334900
103,Sumatera Utara,SU,12,2021,14970500
104,Sumatera Barat,SB,13,2021,5597300
105,Riau,RI,14,2021,6466800
106,Kepulauan Riau,KR,21,2021,3586400
107,Jambi,JA,15,2021,8548600
108,Sumatera Selatan,SS,16,2021,2032400
109,Kepulauan Bangka Belitung,BB,19,2021,4438600
110,Bengkulu,BE,17,2021,1471800
111,Lampung,LA,18,2021,2089900
112,Daerah Khusus Jakarta,JK,31,2021,10605400
113,Jawa Barat,JB,32,2021,48738800
114,Banten,BT,36,2021,36811100
115,Jawa Tengah,JT,33,2021,3687800
116,Daerah Istimewa Yogyakarta,YO,34,2021,40921100
117,Jawa Timur,JI,35,2021,12023000
118,Kalimantan Barat,KB,61,2021,4343400
119,Kalimantan Tengah,KT,62,2021,5387200
120,Kalimantan Selatan,KS,63,2021,5394400
121,Kalimantan Timur,KI,64,2021,5474700
122,Kalimantan Utara,KU,65,2021,2700100
123,Sulawesi Utara,SA,71,2021,4116900
124,Gorontalo,GO,75,2021,3803500
125,Sulawesi Tengah,ST,72,2021,710000
126,Sulawesi Selatan,SN,73,2021,2639500
127,Sulawesi Barat,SR,76,2021,3015000
128,Sulawesi Tenggara,SG,74,2021,9156900
129,Bali,BA,51,2021,2659900
130,Nusa Tenggara Barat,NB,52,2021,1183500
131,Nusa Tenggara Timur,NT,53,2021,1436700
132,Maluku,MA,81,2021,1869500
133,Maluku Utara,MU,82,2021,1299600
134,Papua Barat,PB,92,2021,1149400
135,Papua,PA,91,2021,4356800
136,Aceh,AC,11,2022,5409200
137,Sumatera Utara,SU,12,2022,15180500
138,Sumatera Barat,SB,13,2022,5677600
139,Riau,RI,14,2022,6555800
140,Kepulauan Riau,KR,21,2022,3633200
141,Jambi,JA,15,2022,8647300
142,Sumatera Selatan,SS,16,2022,2059400
143,Kepulauan Bangka Belitung,BB,19,2022,4496600
144,Bengkulu,BE,17,2022,1492000
145,Lampung,LA,18,2022,2121500
146,Daerah Khusus Jakarta,JK,31,2022,10640000
147,Jawa Barat,JB,32,2022,49306800
148,Banten,BT,36,2022,37180400
149,Jawa Tengah,JT,33,2022,3712600
150,Daerah Istimewa Yogyakarta,YO,34,2022,41230000
151,Jawa Timur,JI,35,2022,12167000
152,Kalimantan Barat,KB,61,2022,4374300
153,Kalimantan Tengah,KT,62,2022,5474000
154,Kalimantan Selatan,KS,63,2022,5481800
155,Kalimantan Timur,KI,64,2022,5549700
156,Kalimantan Utara,KU,65,2022,2737200
157,Sulawesi Utara,SA,71,2022,4170200
158,Gorontalo,GO,75,2022,3856800
159,Sulawesi Tengah,ST,72,2022,720100
160,Sulawesi Selatan,SN,73,2022,2660800
161,Sulawesi Barat,SR,76,2022,3051200
162,Sulawesi Tenggara,SG,74,2022,9260100
163,Bali,BA,51,2022,2704600
164,Nusa Tenggara Barat,NB,52,2022,1198400
165,Nusa Tenggara Timur,NT,53,2022,1458900
166,Maluku,MA,81,2022,1895100
167,Maluku Utara,MU,82,2022,1318500
168,Papua Barat,PB,92,2022,1168400
169,Papua,PA,91,2022,4420700
170,Aceh,AC,11,2023,5482500
171,Sumatera Utara,SU,12,2023,15386600
172,Sumatera Barat,SB,13,2023,5757200
173,Riau,RI,14,2023,6642900
174,Kepulauan Riau,KR,21,2023,3679200
175,Jambi,JA,15,2023,8743500
176,Sumatera Selatan,SS,16,2023,2086000
177,Kepulauan Bangka Belitung,BB,19,2023,9314000
178,Bengkulu,BE,17,2023,1511900
179,Lampung,LA,18,2023,2152600
180,Daerah Khusus Jakarta,JK,31,2023,10672100
181,Jawa Barat,JB,32,2023,49860300
182,Banten,BT,36,2023,37541000
183,Jawa Tengah,JT,33,2023,3736500
184,Daerah Istimewa Yogyakarta,YO,34,2023,41527900
185,Jawa Timur,JI,35,2023,12307700
186,Kalimantan Barat,KB,61,2023,4404300
187,Kalimantan Tengah,KT,62,2023,5560300
188,Kalimantan Selatan,KS,63,2023,5569100
189,Kalimantan Timur,KI,64,2023,5623300
190,Kalimantan Utara,KU,65,2023,2773700
191,Sulawesi Utara,SA,71,2023,4222300
192,Gorontalo,GO,75,2023,3909700
193,Sulawesi Tengah,ST,72,2023,730000
194,Sulawesi Selatan,SN,73,2023,2681500
195,Sulawesi Barat,SR,76,2023,3086800
196,Sulawesi Tenggara,SG,74,2023,9362300
197,Bali,BA,51,2023,2749000
198,Nusa Tenggara Barat,NB,52,2023,1213200
199,Nusa Tenggara Timur,NT,53,2023,1481100
200,Maluku,MA,81,2023,1920500
201,Maluku Utara,MU,82,2023,1337100
202,Papua Barat,PB,92,2023,1187300
203,Papua,PA,91,2023,4482700
